"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.162,"2.247","2.267"
"3","","",NA,"",""
"4","ABC, Prisma Porintie 4 (E85 1.671)","10.09.",2.227,"2.237","2.237"
"5","ABC, Kortela Unajantie 2, 8-tie","10.09.",2.161,"2.266","2.266"
"6","Neste,  Karjalankatu 7","09.09.",2.141,"2.241","2.263"
"7","St1, Kortela Vanha Turuntie, 8-tie","09.09.",2.134,"2.239","2.239"
"8","ABC, Sale Monnankatu 4","08.09.",2.171,"-","-"
"9","Neste Oil, K-Supermarket Ahteentie 1","08.09.",2.144,"2.249","2.249"
"10","ABC, Talliketo Tallikedonkatu 12","08.09.",2.195,"2.295","2.303"
"11","St1,  Nortamonkatu 19","08.09.",2.178,"2.268","2.293"
"12","Shell Express,  Karjalankatu (*Vpower)","08.09.",2.165,"*2.275","2.277"
"13","Teboil (A), Sampaanala Nortamonkatu 35","07.09.",2.169,"2.269","2.279"
"14","Neste, Syvärauma Syväraumankatu 24","07.09.",2.169,"2.229","-"
"15","Teboil Express, Papinhaka Papinhaankatu 7","07.09.",2.087,"2.177","-"
